Date,Close,EUR,EURGBP,Calc,
04/Feb/2026,7.6204738,8.81,0.86498,7.6204738,
03/Feb/2026,7.7819148,9.02,0.86274,7.7819148,
02/Feb/2026,7.66344,8.88,0.863,7.66344,
30/Jan/2026,7.5833568,8.76,0.86568,7.5833568,
29/Jan/2026,7.6025376,8.77,0.86688,7.6025376,
28/Jan/2026,7.6315744,8.81,0.86624,7.6315744,
27/Jan/2026,7.77333,8.94,0.8695,7.77333,
26/Jan/2026,7.7976034,8.98,0.86833,7.7976034,
23/Jan/2026,7.8779394,9.09,0.86666,7.8779394,
22/Jan/2026,7.9748792,9.16,0.87062,7.9748792,
21/Jan/2026,7.8372584,9.01,0.86984,7.8372584,
20/Jan/2026,7.7288438,8.86,0.87233,7.7288438,
19/Jan/2026,7.7996341,8.99,0.86759,7.7996341,
16/Jan/2026,7.8551106,9.06,0.86701,7.8551106,
15/Jan/2026,7.8866658,9.09,0.86762,7.8866658,
14/Jan/2026,7.8069848,9.01,0.86648,7.8069848,
13/Jan/2026,7.762514,8.95,0.86732,7.762514,
12/Jan/2026,7.754459,8.95,0.86642,7.754459,
09/Jan/2026,7.8452736,9.04,0.86784,7.8452736,
08/Jan/2026,7.8354213,9.03,0.86771,7.8354213,
07/Jan/2026,7.8779896,9.08,0.86762,7.8779896,
06/Jan/2026,7.704997,8.90,0.86573,7.704997,
05/Jan/2026,7.4973084,8.66,0.86574,7.4973084,
02/Jan/2026,7.582926,8.71,0.8706,7.582926,
31/Dec/2025,7.6078512,8.72,0.87246,7.6078512,
30/Dec/2025,7.5991266,8.71,0.87246,7.5991266,
29/Dec/2025,7.6258875,8.75,0.87153,7.6258875,
23/Dec/2025,7.664501,8.78,0.87295,7.664501,
22/Dec/2025,7.6267899,8.73,0.87363,7.6267899,
19/Dec/2025,7.5906717,8.67,0.87551,7.5906717,
18/Dec/2025,7.562469,8.63,0.8763,7.562469,
17/Dec/2025,7.6011418,8.66,0.87773,7.6011418,
16/Dec/2025,7.5437068,8.62,0.87514,7.5437068,
15/Dec/2025,7.6528673,8.71,0.87863,7.6528673,
12/Dec/2025,7.640514,8.70,0.87822,7.640514,
11/Dec/2025,7.6451728,8.72,0.87674,7.6451728,
10/Dec/2025,7.6477625,8.75,0.87403,7.6477625,
09/Dec/2025,7.684218,8.79,0.8742,7.684218,
08/Dec/2025,7.7133582,8.83,0.87354,7.7133582,
05/Dec/2025,7.7357546,8.86,0.87311,7.7357546,
04/Dec/2025,7.6805262,8.79,0.87378,7.6805262,
03/Dec/2025,7.7013496,8.81,0.87416,7.7013496,
02/Dec/2025,7.777874,8.84,0.87985,7.777874,
01/Dec/2025,7.8552204,8.94,0.87866,7.8552204,
28/Nov/2025,7.8554775,8.97,0.87575,7.8554775,
27/Nov/2025,7.8762289,8.99,0.87611,7.8762289,
26/Nov/2025,7.8738915,8.99,0.87585,7.8738915,
25/Nov/2025,7.872256,8.96,0.8786,7.872256,
24/Nov/2025,7.7810085,8.85,0.87921,7.7810085,
21/Nov/2025,7.6289388,8.68,0.87891,7.6289388,
20/Nov/2025,7.7153125,8.75,0.88175,7.7153125,
19/Nov/2025,7.581717,8.58,0.88365,7.581717,
18/Nov/2025,7.4441965,8.45,0.88097,7.4441965,
17/Nov/2025,7.4986716,8.51,0.88116,7.4986716,
14/Nov/2025,7.4463876,8.43,0.88332,7.4463876,
13/Nov/2025,7.5627315,8.55,0.88453,7.5627315,
12/Nov/2025,7.558,8.56,0.88291,7.5577096,
11/Nov/2025,7.365,8.36,0.88094,7.3646584,
10/Nov/2025,7.290,8.31,0.8773,7.290363,
07/Nov/2025,7.209,8.20,0.8792,7.20944,
06/Nov/2025,7.287,8.29,0.87904,7.2872416,
05/Nov/2025,7.302,8.29,0.88077,7.3015833,
04/Nov/2025,7.320,8.30,0.88194,7.320102,
03/Nov/2025,7.270,8.29,0.87691,7.2695839,
31/Oct/2025,7.354,8.34,0.88172,7.3535448,
30/Oct/2025,7.310,8.31,0.87962,7.3096422,
29/Oct/2025,7.228,8.22,0.87926,7.2275172,
28/Oct/2025,7.278,8.29,0.87793,7.2780397,
27/Oct/2025,7.222,8.27,0.87333,7.2224391,
24/Oct/2025,7.234,8.28,0.87368,7.2340704,
23/Oct/2025,7.183,8.24,0.87178,7.1834672,
22/Oct/2025,7.190,8.27,0.86935,7.1895245,
21/Oct/2025,7.132,8.22,0.86767,7.1322474,
20/Oct/2025,7.079,8.15,0.86865,7.0794975,
17/Oct/2025,7.034,8.10,0.86844,7.034364,
16/Oct/2025,7.117,8.18,0.87008,7.1172544,
15/Oct/2025,7.013,8.07,0.86903,7.0130721,
14/Oct/2025,6.970,8.00,0.87124,6.96992,
13/Oct/2025,6.986,8.05,0.86777,6.9855485,
10/Oct/2025,7.040,8.09,0.87025,7.0403225,
09/Oct/2025,7.077,8.14,0.86944,7.0772416,
08/Oct/2025,6.996,8.06,0.868,6.99608,
07/Oct/2025,6.999,8.06,0.86836,6.9989816,
06/Oct/2025,6.992,8.05,0.86858,6.992069,
03/Oct/2025,6.962,7.99,0.8713,6.961687,
02/Oct/2025,6.921,7.94,0.87172,6.9214568,
01/Oct/2025,6.815,7.83,0.8704,6.815232,
