Date,Close
22/04/2026,13.99
21/04/2026,13.99
20/04/2026,14.13
17/04/2026,14.12
16/04/2026,14.06
15/04/2026,14.15
14/04/2026,14.11
13/04/2026,14.16
10/04/2026,14.20
09/04/2026,14.22
08/04/2026,14.18
07/04/2026,14.10
02/04/2026,14.34
01/04/2026,14.28
31/03/2026,14.15
30/03/2026,14.03
27/03/2026,13.92
26/03/2026,14.01
25/03/2026,13.97
24/03/2026,13.73
23/03/2026,13.82
20/03/2026,13.93
19/03/2026,13.99
18/03/2026,14.12
17/03/2026,14.40
16/03/2026,14.44
13/03/2026,14.45
12/03/2026,14.43
11/03/2026,14.54
10/03/2026,14.60
09/03/2026,14.48
06/03/2026,14.44
05/03/2026,14.81
04/03/2026,14.90
03/03/2026,14.91
02/03/2026,15.18
27/02/2026,15.08
26/02/2026,14.91
25/02/2026,15.08
24/02/2026,15.08
23/02/2026,15.04
20/02/2026,14.97
19/02/2026,15.01
18/02/2026,14.98
17/02/2026,15.08
16/02/2026,14.85
13/02/2026,14.90
12/02/2026,14.73
11/02/2026,14.59
10/02/2026,14.68
09/02/2026,14.69
06/02/2026,14.68
05/02/2026,14.80
04/02/2026,14.57
03/02/2026,14.76
02/02/2026,14.65
30/01/2026,14.39
29/01/2026,14.37
28/01/2026,14.39
27/01/2026,14.59
26/01/2026,14.76
23/01/2026,14.86
22/01/2026,14.98
21/01/2026,14.81
20/01/2026,14.64
19/01/2026,14.82
16/01/2026,14.88
15/01/2026,14.94
14/01/2026,14.89
13/01/2026,14.81
12/01/2026,14.87
09/01/2026,15.06
08/01/2026,15.11
07/01/2026,15.09
06/01/2026,14.80
05/01/2026,14.50
02/01/2026,14.62
31/12/2025,14.75
30/12/2025,14.72
29/12/2025,14.74
23/12/2025,14.71
22/12/2025,14.64
19/12/2025,14.68
18/12/2025,14.60
17/12/2025,14.62
16/12/2025,14.56
15/12/2025,14.70
12/12/2025,14.58
11/12/2025,14.51
10/12/2025,14.43
09/12/2025,14.57
08/12/2025,14.56
05/12/2025,14.70
04/12/2025,14.67
03/12/2025,14.78
02/12/2025,14.92
01/12/2025,15.03
28/11/2025,15.04
27/11/2025,15.11
26/11/2025,15.19
25/11/2025,15.11
24/11/2025,14.96
21/11/2025,14.84
20/11/2025,14.83
19/11/2025,14.81
18/11/2025,14.69
17/11/2025,14.72
14/11/2025,14.66
13/11/2025,14.85
12/11/2025,14.81
11/11/2025,14.38
10/11/2025,14.22
07/11/2025,14.04
06/11/2025,14.16
05/11/2025,14.17
04/11/2025,14.05
03/11/2025,13.97
31/10/2025,14.02
30/10/2025,14.08
29/10/2025,14.03
28/10/2025,14.13
27/10/2025,14.03
24/10/2025,14.08
23/10/2025,14.05
22/10/2025,14.07
21/10/2025,13.96
20/10/2025,13.92
17/10/2025,13.83
16/10/2025,13.86
15/10/2025,13.85
14/10/2025,13.81
13/10/2025,13.82
10/10/2025,14.01
09/10/2025,14.03
08/10/2025,13.92
07/10/2025,13.88
06/10/2025,13.90
03/10/2025,13.83
02/10/2025,13.78
01/10/2025,13.55
30/09/2025,13.22
29/09/2025,13.06
26/09/2025,13.10
25/09/2025,13.14
24/09/2025,13.19
23/09/2025,13.19
22/09/2025,13.15
19/09/2025,13.19
18/09/2025,13.09
17/09/2025,13.02
16/09/2025,12.97
15/09/2025,13.10
12/09/2025,13.28
11/09/2025,13.23
10/09/2025,13.17
09/09/2025,13.21
08/09/2025,13.16
05/09/2025,13.25
04/09/2025,13.28
03/09/2025,13.24
02/09/2025,13.27
01/09/2025,13.13
29/08/2025,13.16
28/08/2025,13.07
27/08/2025,13.22
26/08/2025,13.13
25/08/2025,13.20
22/08/2025,13.29
21/08/2025,13.25
20/08/2025,13.24
19/08/2025,13.05
18/08/2025,13.06
14/08/2025,12.74
13/08/2025,12.68
12/08/2025,12.60
11/08/2025,12.68
08/08/2025,12.60
07/08/2025,12.55
06/08/2025,12.72
05/08/2025,12.92
04/08/2025,12.81
01/08/2025,12.80
31/07/2025,13.10
30/07/2025,13.09
29/07/2025,13.01
28/07/2025,13.06
25/07/2025,13.07
24/07/2025,13.03
23/07/2025,12.88
22/07/2025,12.78
21/07/2025,12.66
18/07/2025,12.73
17/07/2025,12.75
